school,address,latitude,longitude,postal_code
Admiralty Primary School,11 Woodlands Circle,1.44263479,103.8000401,738907
Ahmad Ibrahim Primary School,10 Yishun Street 11,1.433152715,103.8329424,768643
Ai Tong School,100 Bright Hill Drive,1.360583434,103.8330203,579646
Alexandra Primary School,2A Prince Charles Crescent,1.291334392,103.8244247,159016
Anchor Green Primary School,31 Anchorvale Drive,1.390369987,103.8871654,544969
Anderson Primary School,19 Ang Mo Kio Ave 9,1.384199419,103.8414117,569785
Ang Mo Kio Primary School,20 Ang Mo Kio Avenue 3,1.369321766,103.8396309,569920
Anglo-Chinese School (Junior),16 Winstedt Road,1.309350413,103.8409503,227988
Anglo-Chinese School (Primary),50 Barker Road,1.318370545,103.8356097,309918
Angsana Primary School,51 Tampines Street 61,1.363605906,103.9389409,528565
Beacon Primary School,36 Bukit Panjang Ring Road,1.383949362,103.773632,679944
Bedok Green Primary School,1 Bedok South Ave 2,1.323445933,103.937879,469317
Bendemeer Primary School,91 Bendemeer Road,1.321812508,103.8654042,339948
Blangah Rise Primary School,91 Telok Blangah Heights,1.276120479,103.8086285,109100
Boon Lay Garden Primary School,20 Boon Lay Drive,1.342840138,103.7128584,649930
Bukit Panjang Primary School,109 Cashew Road,1.3735009,103.7694173,679676
Bukit Timah Primary School,111 Lorong Kismis,1.337749862,103.7668553,598112
Bukit View Primary School,18 Bukit Batok Street 21,1.345860548,103.7536664,659634
Canberra Primary School,21 Admiralty Drive,1.451250244,103.8158589,757714
Canossa Catholic Primary School,1 Sallim Road,1.326644245,103.882228,387621
Cantonment Primary School,1 Cantonment Close,1.275472526,103.8399626,088256
Casuarina Primary School,30 Pasir Ris St 41,1.372460639,103.9570203,518935
Catholic High School (Primary Section),9 Bishan Street 22,1.354723075,103.8448747,579767
Cedar Primary School,15 Cedar Avenue,1.335660844,103.8756201,349700
Changkat Primary School,11 Simei St 3,1.34023164,103.9520801,529896
CHIJ (Katong) Primary,17 Martia Road,1.306485353,103.9111056,424821
CHIJ (Kellock),1 Bukit Teresa Road,1.275022723,103.8281576,099757
CHIJ Our Lady of Good Counsel,2C Burghley Drive,1.357429523,103.8640094,558979
CHIJ Our Lady of the Nativity,1257 Upper Serangoon Road,1.373302971,103.8975757,534793
CHIJ Our Lady Queen of Peace,4 Chestnut Drive,1.366603669,103.7674122,679287
CHIJ Primary (Toa Payoh),628 Lorong 1 Toa Payoh,1.332752647,103.8418473,319765
CHIJ St. Nicholas Girls' School (Primary Section),501 Ang Mo Kio Street 13,1.373476879,103.8342533,569405
Chongfu School,170 Yishun Avenue 6,1.438395629,103.8393092,768959
Chongzheng Primary School,1 Tampines Street 21,1.350611306,103.9513173,529392
Chua Chu Kang Primary School,20 Choa Chu Kang Avenue 2,1.377758901,103.7418329,689905
Clementi Primary School,8 Clementi Ave 3,1.315063218,103.7631445,129903
Compassvale Primary School,21 Compassvale St,1.394445296,103.8978122,545091
Concord Primary School,3 Choa Chu Kang Ave 4,1.380265161,103.7365543,689814
Corporation Primary School,31 Jurong West Street 24,1.351485488,103.7075784,648347
Damai Primary School,52 Bedok Reservoir Crescent,1.335246028,103.9212864,479226
Dazhong Primary School,35 Bukit Batok Street 31,1.359179745,103.7484721,659441
De La Salle School,11 Choa Chu Kang St 52,1.39470783,103.7432018,689285
East Spring Primary School,31 Tampines St 33,1.352684007,103.9616768,529258
Edgefield Primary School,41 Edgefield Plains,1.400091395,103.9078476,828869
Elias Park Primary School,11 Pasir Ris Street 52,1.375056963,103.9452894,518866
Endeavour Primary School,10 Admiralty Link,1.453881704,103.8171747,757521
Evergreen Primary School,31 Woodlands Circle,1.444148355,103.7945453,738908
Fairfield Methodist School (Primary),100 Dover Road,1.301004419,103.7854556,139648
Farrer Park Primary School,2 Farrer Park Road,1.312368677,103.8507664,217567
Fengshan Primary School,307 Bedok North Road,1.329805988,103.9317103,469680
Fern Green Primary School,70 Fernvale Link,1.397269661,103.8803303,797538
Fernvale Primary School,1 Fernvale Lane,1.39030228,103.8744455,797701
First Toa Payoh Primary School,7 Lorong 8 Toa Payoh,1.340322995,103.8555299,319252
Frontier Primary School,20 Jurong West Street 61,1.336412987,103.6997017,648200
Fuchun Primary School,23 Woodlands Avenue 1,1.430479908,103.7781929,739063
Fuhua Primary School,65 Jurong East Street 13,1.336597265,103.7360895,609647
Gan Eng Seng Primary School,100 Redhill Close,1.285595165,103.8155474,158901
Geylang Methodist School (Primary),4 Geylang East Central,1.318144168,103.8836285,389706
Gongshang Primary School,1 Tampines Street 42,1.357116068,103.9491448,529176
Greendale Primary School,50 Edgedale Plains,1.396481951,103.9123346,828848
Greenridge Primary School,11 Jelapang Road,1.385889219,103.7677945,677744
Greenwood Primary School,11 Woodlands  Dr  62,1.439899583,103.8047256,737942
Haig Girls' School,51 Koon Seng Road,1.311943443,103.9029026,427072
Henry Park Primary School,1 Holland Grove Road,1.316676462,103.7842962,278790
Holy Innocents' Primary School,5 Lorong Low Koon,1.366938309,103.8941149,536451
Hong Wen School,30 Towner Road,1.32176,103.8576285,327829
Horizon Primary School,61 Edgedale Plains,1.399550034,103.9134049,828819
Hougang Primary School,1 Hougang St 93,1.378136081,103.8812051,534238
Huamin Primary School,21 Yishun Avenue 11,1.426972845,103.8442402,768857
Innova Primary School,80 Woodlands Drive 17,1.428967007,103.7906075,737888
Jiemin Primary School,2 Yishun Street 71,1.427688477,103.8304255,768515
Jing Shan Primary School,5 Ang Mo Kio St 52,1.372347117,103.8517112,569228
Junyuan Primary School,2 Tampines Street 91,1.347870748,103.9392217,528906
Jurong Primary School,320 Jurong East Street 32,1.348438597,103.7331566,609476
Jurong West Primary School,30 Jurong West St 61,1.3391752,103.6988038,648368
Keming Primary School,90 Bukit Batok East Avenue 6,1.3455285,103.7564494,659762
Kheng Cheng School,15 Lorong 3 Toa Payoh,1.337338194,103.8471485,319580
Kong Hwa School,350 Guillemard Road,1.31099674,103.888352,399772
Kranji Primary School,11 Choa Chu Kang Street 54,1.393560505,103.7473627,689189
Kuo Chuan Presbyterian Primary School,8 Bishan Street 13,1.349398137,103.8550182,579793
Lakeside Primary School,161 Corporation Walk,1.338203977,103.7180895,618310
Lianhua Primary School,2 Bukit Batok Street 52,1.354241911,103.7541658,659243
Maha Bodhi School,10 Ubi Avenue 1,1.328580239,103.9013069,408931
Maris Stella High School (Primary Section),25 Mount Vernon Road,1.341398224,103.8777694,368051
