station_name,longitude,latitude,station_small,date,geohash
ADMIRALTY MRT STATION,103.8005335,1.440152397,admiralty,1996-02-10,w23b4n1jrxze
ADMIRALTY MRT STATION,103.8013645,1.440533388,admiralty,1996-02-10,w23b4n1zengk
ADMIRALTY MRT STATION,103.8005425,1.440596286,admiralty,1996-02-10,w23b4n30pfw7
ADMIRALTY MRT STATION,103.8009895,1.440345661,admiralty,1996-02-10,w23b4n1wd7gs
ALJUNIED MRT STATION,103.8824729,1.31648793,aljunied,1989-11-04,w21z7zsvj54h
ALJUNIED MRT STATION,103.8824967,1.316238485,aljunied,1989-11-04,w21z7zsgtseu
ANG MO KIO MRT STATION,103.8493433,1.369440531,ang mo kio,1987-11-07,w21zg1kc944y
ANG MO KIO MRT STATION,103.8495961,1.369685322,ang mo kio,1987-11-07,w21zg1kfyzz7
ANG MO KIO MRT STATION,103.849939,1.369464707,ang mo kio,1987-11-07,w21zg1m1wyxp
ANG MO KIO MRT STATION,103.8498246,1.369882375,ang mo kio,1987-11-07,w21zg1mhhk9d
BARTLEY MRT STATION,103.8789087,1.343501062,bartley,2009-05-28,w21zeud66nb2
BARTLEY MRT STATION,103.8802559,1.342248749,bartley,2009-05-28,w21zeu771mkc
BAYFRONT MRT STATION,103.8595969,1.282834909,bayfront,2012-01-14,w21z73s301b2
BAYFRONT MRT STATION,103.8597592,1.282705225,bayfront,2012-01-14,w21z73s27c9d
BAYFRONT MRT STATION,103.8587319,1.280967424,bayfront,2012-01-14,w21z735w5vek
BAYFRONT MRT STATION,103.858441,1.281104637,bayfront,2012-01-14,w21z735qvp4w
BAYFRONT MRT STATION,103.8594938,1.282834354,bayfront,2012-01-14,w21z73s1j9es
BEAUTY WORLD MRT STATION,103.7754507,1.341582215,beauty world,2015-12-27,w21z9knzr309
BEAUTY WORLD MRT STATION,103.7759843,1.34169615,beauty world,2015-12-27,w21z9kprgwq3
BEAUTY WORLD MRT STATION,103.7757615,1.339981874,beauty world,2015-12-27,w21z97zjyw8r
BEDOK MRT STATION,103.9291571,1.323568636,bedok,1989-11-04,w21zsbyykgh6
BEDOK MRT STATION,103.9296731,1.324268343,bedok,1989-11-04,w21zscp62vt0
BEDOK MRT STATION,103.9294043,1.324074646,bedok,1989-11-04,w21zscp169ks
BEDOK NORTH MRT STATION,103.9178105,1.334422577,bedok north,2017-10-21,w21zsdyts6rs
BEDOK NORTH MRT STATION,103.9180498,1.335126266,bedok north,2017-10-21,w21zsencdjd4
BEDOK NORTH MRT STATION,103.9190628,1.334166074,bedok north,2017-10-21,w21zsdzs1dt6
BEDOK NORTH MRT STATION,103.9191343,1.33437249,bedok north,2017-10-21,w21zsdzt734c
BEDOK RESERVOIR MRT STATION,103.9334872,1.336554903,bedok reservoir,2017-10-21,w21zt561czch
BEDOK RESERVOIR MRT STATION,103.9328868,1.336347761,bedok reservoir,2017-10-21,w21zt538gc32
BENCOOLEN MRT STATION,103.8492717,1.297699118,bencoolen,2017-10-21,w21z7hhxxktk
BENCOOLEN MRT STATION,103.8508434,1.299195196,bencoolen,2017-10-21,w21z7htbk593
